id_user,bulan,wants_ratio,fixed_costs_ratio,savings_rate,wants_frequency,small_leaks_ratio,night_owl_spending,weekend_surge,early_month_depletion,balance_volatility,survival_mode_days
USR-001,1,0.9511658616651587,0.04883413833484122,0.0016270958466453676,0.92,0.32,0.04,0.9499628084011833,0.9971869904153355,0.19997921842618344,2
USR-001,2,0.3785983431659558,0.6214016568340442,0.0012095399361022362,0.41935483870967744,0.12903225806451613,0.0967741935483871,1.1293164242230183,0.9963357188498402,0.29230965387707897,2
USR-001,3,0.11839564450761714,0.5045088803831695,0.37438231948881784,0.2916666666666667,0.375,0.041666666666666664,1.3487031480725022,0.4980321533546326,0.3374346756676555,3
USR-002,1,0.3704885735682914,0.4126442785794113,0.23683568636363636,0.6451612903225806,0.4838709677419355,0.03225806451612903,0.11941804426914793,0.994657118181818,0.19714331226075946,6
USR-002,2,0.76130175802396,0.2386982419760399,-0.004376454545454545,0.75,0.25,0.0,1.6379027628844782,1.0003625681818182,0.26615620113866445,2
USR-002,3,0.7464165191359263,0.25358348086407356,0.0013930818181818185,0.6764705882352942,0.29411764705882354,0.029411764705882353,2.8816732792161663,1.0002340045454543,0.2666675105590201,7
USR-003,1,0.8361326809730923,0.16386731902690774,0.00185596449704142,0.7941176470588235,0.35294117647058826,0.058823529411764705,0.2805172881405275,0.9917912512426019,0.152802811654617,4
USR-003,2,0.18757402019016758,0.8124259798098323,0.0019454615384615385,0.6551724137931034,0.4482758620689655,0.06896551724137931,7.384143073619284,0.9982618875739644,0.10299904213178274,6
USR-003,3,0.804205102898795,0.1275694428421487,0.06589989349112427,0.8837209302325582,0.4186046511627907,0.06976744186046512,1.3953436654795055,0.9971310513609465,0.22270657782186876,2
USR-004,1,0.6660073420136705,0.3339926579863294,0.0017362076124567475,0.7333333333333333,0.26666666666666666,0.03333333333333333,0.1901664103526578,0.996282937716263,0.16140172696107025,3
USR-004,2,0.5115407508607032,0.4884592491392967,0.00013761937716262954,0.6521739130434783,0.30434782608695654,0.043478260869565216,16.62556640724125,0.9998623806228375,0.07777136830075433,3
USR-004,3,0.4307132521173248,0.5692867478826752,2.4702422145328834e-05,0.59375,0.375,0.0625,0.8696973756727763,0.9978216228373703,0.16424017407765576,6
USR-005,1,0.38357785200224115,0.5168865668247683,0.10334557594936708,0.6,0.35,0.15,0.0,0.9957688417721519,0.17258167620028378,2
USR-005,2,0.5047753102562722,0.2938693095459123,0.20082084810126583,0.375,0.1875,0.0,2.12189268199869,0.9165052658227848,0.19652622035745354,5
USR-005,3,0.33582042515177174,0.6641795748482284,0.034789322784810124,0.3235294117647059,0.17647058823529413,0.08823529411764706,0.9597671985486768,0.9524951645569623,0.22402595944626413,5
USR-006,1,0.21341180034283996,0.78658819965716,0.051220851674641146,0.0967741935483871,0.12903225806451613,0.16129032258064516,0.7768016292554584,0.9713700765550239,0.2263949656042251,7
USR-006,2,0.728694772459631,0.27130522754036906,-0.04412846411483254,0.3333333333333333,0.26666666666666666,0.0,0.9912093954142592,0.9143785550239234,0.261493159929454,4
USR-006,3,0.13547238131567044,0.8053173083026316,0.05835921531100478,0.25,0.0,0.0,5.50473654438884,0.9495545980861243,0.04263326917496177,4
USR-007,1,0.7356770761033405,0.26432292389665973,0.03559296245733789,0.6764705882352942,0.38235294117647056,0.11764705882352941,0.07215984171597489,0.9952928464163822,0.2649226880258191,4
USR-007,2,0.6393074674197954,0.3322667404636044,-0.0009083344709897654,0.6571428571428571,0.37142857142857144,0.05714285714285714,1.8323909867679298,0.8894555048464146,0.12253048892675607,4
USR-007,3,0.5554997775328625,0.34627439823197775,0.10717400682593857,0.7380952380952381,0.5,0.07142857142857142,2.3858489409809507,0.9996398122866895,0.18748222413788973,5
